Word,POS,Synonym,Antonym
be,verb,follow,differ
there,noun,location (generic term),here
other,adjective,different (similar term),same
more,adjective,more than,fewer 
have,verb,have got,refuse
new,adjective,brand-new (similar term),old 
man,noun,adult male,woman 
many,adjective,galore (similar term),few
never,adverb,ne'er,ever 
on,adjective,connected (similar term),off
here,noun,location (generic term),there
much,adjective,overmuch (similar term),little
day,noun,daytime,night 
old,adjective,aged (similar term),young
away,adjective,home (antonym),home
work,verb,bring,malfunction 
course,noun,course of study,unnaturally 
always,adverb,ever,never
place,verb,order (generic term),divest
often,adverb,frequently,rarely
part,noun,portion,wholly
ever,adverb,of all time,never 
kind,adjective,benignant (similar term),unkind 
night,noun,time period (generic term),day 
child,noun,descendant (generic term),parent
later,adjective,late,early 
mother,noun,yeast (generic term),male parent
little,adjective,fiddling,much 
end,noun,contribution (generic term),beginning
face,verb,confront,avoid
different,adjective,antithetic (similar term),same 
side,adjective,broadside (similar term),top
point,noun,period,unpointedness 
important,adjective,significant,noncrucial 
already,adverb,not yet (antonym),not yet 
war,noun,state of war,peace
taken,adjective,appropriated (similar term),given
woman,noun,adult female,man 
country,noun,nation,urban area 
moment,noun,minute,inconsequence
power,noun,powerfulness,inability 
able,adjective,able-bodied,unable
large,adjective,big,little
big,adverb,small (antonym),small 
least,adjective,most (antonym),most
morning,noun,morn,sunset 
political,adjective,governmental (similar term),nonpolitical 
home,adjective,away (antonym),away
mind,verb,object (generic term),forget 
get,verb,catch,end 
given,adjective,bestowed (similar term),taken
probably,adverb,likely,incredibly 
human,adjective,quality (related term),nonhuman
question,noun,interrogation,answer 
girl,noun,miss,boy
father,noun,don,female parent
high,adjective,advanced (similar term),low 
sure,adjective,certain,unsure
air,adjective,aerial (similar term),land
land,adjective,onshore (similar term),sea
age,verb,develop (generic term),rejuvenate 
bed,verb,supply (generic term),get up
order,noun,Holy Order,disorder
light,adjective,airy (similar term),dark
voice,verb,sound,devoice 
love,noun,passion,hate
death,noun,organic phenomenon (generic term),birth
head,noun,foam (generic term),tail
early,adjective,aboriginal (similar term),middle
less,adjective,fewer (similar term),more 
usually,adverb,normally,remarkably 
difficult,adjective,effortful (similar term),easy
interest,noun,sake,uninterestingness 
road,adjective,itinerant,cross-country
wife,noun,married woman,husband
boy,noun,man (generic term),female child
rest,verb,reside,be active
union,adjective,Union,nonunion 
made,adjective,successful (similar term),unmade 
front,adjective,advance (similar term),back
experience,noun,content (generic term),inexperience 
poor,adjective,broke (similar term),rich 
united,adjective,agreed (similar term),divided 
hard,adjective,difficult,soft 
likely,adjective,apt (similar term),unlikely 
control,noun,controller,unrestraint 
development,noun,exploitation,devolution 
action,noun,legal action,inaction
level,verb,talk (generic term),raise 
late,adjective,advanced (similar term),early
service,noun,religious service,disservice
come,verb,arrive,leave 
back,adjective,backmost (similar term),front
friend,noun,ally,foe 
ground,noun,earth,figure
need,verb,necessitate,obviate 
strong,adjective,beardown (similar term),weak 
few,adjective,a few (similar term),many 
necessary,adjective,essential (similar term),unnecessary
top,adjective,apical (similar term),bottom
sea,adjective,deep-sea (similar term),air
son,noun,boy,girl
nuclear,adjective,atomic,conventional 
quickly,adverb,cursorily,slowly 
dead,adjective,stagnant,animate
fire,verb,burn,hire
personal,adjective,ad hominem (similar term),impersonal 
industrial,adjective,blue-collar (similar term),nonindustrial 
clearly,adverb,clear,unintelligibly 
greater,adjective,lesser (antonym),lesser
exactly,adverb,precisely,inexactly
nice,adjective,discriminate,nasty 
known,adjective,best-known (similar term),unknown 
hot,adjective,raging,cold 
available,adjective,accessible (similar term),unavailable
concerned,adjective,afraid (similar term),unconcerned
force,verb,wedge,push 
future,adjective,approaching (similar term),past
serious,adjective,dangerous,frivolous
happy,adjective,blessed (similar term),unhappy 
husband,noun,hubby,wife
doubt,noun,dubiousness,certainty 
attention,noun,attending,inattention
doctor,verb,sophisticate,break 
health,noun,condition (generic term),illness
heavy,adjective,dense,light
slowly,adverb,lento,quickly 
support,verb,hold,negate 
bank,verb,transact (generic term),withdraw 
look,verb,convey (generic term),back
act,verb,serve (generic term),refrain
truth,noun,fact (generic term),inaccuracy 
will,verb,ordain (generic term),disinherit
written,adjective,backhand (similar term),spoken
sound,noun,strait,silence
growth,noun,increase,nondevelopment
security,noun,security measures,insecurity
beautiful,adjective,aesthetic (similar term),ugly 
piece,verb,patch,disassemble
similar,adjective,akin (similar term),dissimilar 
change,verb,transfer,stay 
fear,noun,concern,fearlessness
right,adjective,correct,left
value,verb,rate,disesteem
animal,adjective,carnal,mineral
completely,adverb,wholly,partly
afraid,adjective,acrophobic (similar term),unafraid 
couple,verb,couple on,uncouple 
physical,adjective,animal (similar term),mental 
play,noun,playing period,tightness 
heat,noun,heat energy,anestrus 
basic,adjective,canonic,incidental
foreign,adjective,abroad (similar term),domestic 
figure,noun,trope,ground
income,noun,financial gain (generic term),outgo
certain,adjective,sure,uncertain
arm,verb,build up,disarm 
impossible,adjective,hopeless (similar term),possible 
past,adjective,ago (similar term),present
defence,noun,defense mechanism,offence
entirely,adverb,exclusively,partly 
usual,adjective,accustomed (similar term),unusual 
answer,noun,pleading (generic term),question 
growing,noun,growth,nondevelopment
interested,adjective,concerned,uninterested 
interesting,adjective,absorbing (similar term),uninteresting 
success,noun,happening (generic term),loser 
strange,adjective,unusual,native 
whole,adjective,entire (similar term),fractional
daughter,noun,girl,boy
difference,noun,change (generic term),sameness 
public,adjective,common (similar term),private
aware,adjective,cognizant,unaware
moving,adjective,afoot (similar term),unmoving
decision,noun,determination,indecision
foot,noun,human foot,head 
carefully,adverb,cautiously,carelessly
member,noun,associate (generic term),nonmember
ahead,adverb,in front,back
material,adjective,worldly (similar term),incorporeal 
obvious,adjective,apparent (similar term),unobvious 
ordinary,adjective,average,extraordinary 
surface,adjective,aboveground (similar term),subsurface
sorry,adjective,good-for-nothing,unregretful 
capital,noun,seat (generic term),lowercase 
rich,adjective,affluent (similar term),poor 
turn,verb,move (generic term),unbend 
generally,adverb,by and large,narrowly 
weight,verb,burden,unburden
normal,adjective,average (similar term),abnormal 
possibly,adverb,perchance,impossibly 
type,noun,character (generic term),antitype 
born,adjective,given birth (similar term),unborn 
strength,noun,military capability,weak point
king,noun,face card (generic term),female monarch
peace,noun,harmony (generic term),war 
hell,noun,Hel,Heaven
issue,verb,emerge,recall
silence,noun,muteness,sound 
traditional,adjective,conventional (similar term),nontraditional
attack,verb,aggress,defend
board,verb,get on,get off 
brother,noun,blood brother,sister 
shop,verb,denounce,boycott
worse,adjective,worsened (similar term),better
colour,adjective,color,black-and-white 
fairly,adverb,fair,unfairly
pleasure,noun,activity (generic term),pain 
useful,adjective,utile,useless 
bottom,adjective,bottommost (similar term),side
dangerous,adjective,grave,safe
set,verb,arrange,rise
sister,noun,member (generic term),brother 
wide,adjective,across-the-board,narrow
lack,verb,miss,have 
powerful,adjective,almighty (similar term),powerless 
presence,noun,being (generic term),absence 
successful,adjective,boffo (similar term),unsuccessful 
asking,adjective,interrogative,declarative
popular,adjective,best-selling (similar term),unpopular 
sexual,adjective,physiological property (related term),asexual
expression,noun,look,misconstruction
considerable,adjective,appreciable (similar term),inconsiderable 
importance,noun,grandness,unimportance 
loss,noun,experience (generic term),gain 
soft,adjective,qualitative (similar term),hard
wild,adjective,barbarian,tame
balance,noun,balance wheel,asymmetry 
reality,noun,realness,unreality 
source,noun,seed,sink
ability,noun,quality (generic term),inability
responsibility,noun,responsibleness,irresponsibleness
some,adjective,any (similar term),no
activity,noun,act (generic term),inactivity
bright,adjective,agleam (similar term),dull
majority,noun,absolute majority,minority 
pain,noun,annoyance,pleasure 
responsible,adjective,accountable (similar term),irresponsible 
sleep,verb,accommodate (generic term),wake 
danger,noun,causal agent (generic term),safety
dress,verb,trim,undress
race,verb,act (generic term),linger 
demand,noun,request (generic term),supply
equally,adverb,evenly,unequally
first,noun,first base,middle
safety,noun,refuge,danger
believe,verb,accept (generic term),disbelieve 
partly,adverb,partially,wholly
directly,adverb,straight,indirectly
fresh,adjective,sweet,rotten 
increasing,adjective,accelerative (similar term),decreasing 
parent,noun,genitor (generic term),child
speaking,adjective,talking (similar term),nonspeaking 
speed,verb,rush,decelerate
fully,adverb,to the full,meagerly 
key,noun,keystone,atonality 
naturally,adverb,of course,artificially 
expensive,adjective,big-ticket (similar term),cheap 
normally,adverb,usually,remarkably 
advantage,noun,point (generic term),penalty
beginning,noun,happening (generic term),end
financial,adjective,fiscal,nonfinancial
independent,adjective,absolute (similar term),dependent 
lady,noun,dame,nobleman
leader,noun,drawing card,follower
practical,adjective,applicable (similar term),impractical 
totally,adverb,wholly,partly 
